index,lights,street_inf,bikes,landmarks,memorials,trees,transport_stops,bus-stops,tram-stops,metro-stations,taxi-ranks,big-car-parks,buildings_2010,buildings_2011,buildings_2012,buildings_2013,buildings_2014,buildings_2015,buildings_2016,buildings_2017,buildings_2018,buildings_2019,buildings_2020,avg_n_floors_2010,avg_n_floors_2011,avg_n_floors_2012,avg_n_floors_2013,avg_n_floors_2014,avg_n_floors_2015,avg_n_floors_2016,avg_n_floors_2017,avg_n_floors_2018,avg_n_floors_2019,avg_n_floors_2020,sensor_id
1,574,1527,2,18,21,454,1,1,0,0,17,8,385,385,378,378,378,378,377,378,378,379,379,5.511688311688312,5.605194805194805,5.616402116402116,5.616402116402116,5.703703703703703,5.73015873015873,5.753315649867374,5.791005291005291,5.767195767195767,5.762532981530343,5.736147757255937,1
2,551,1557,2,16,20,454,1,1,0,0,18,7,385,385,378,378,378,377,376,377,374,373,372,5.607792207792208,5.703896103896104,5.716931216931217,5.716931216931217,5.804232804232805,5.814323607427056,5.837765957446808,5.8753315649867375,5.887700534759358,5.86058981233244,5.809139784946237,2
3,498,1331,3,16,10,455,4,0,3,1,11,9,355,356,352,351,349,349,346,346,347,346,344,4.298591549295774,4.407303370786517,4.3977272727272725,4.433048433048433,4.469914040114613,4.911174785100287,5.254335260115607,5.355491329479769,5.5590778097982705,6.106936416184971,6.247093023255814,3
4,373,1640,2,17,20,416,4,2,1,1,21,6,351,351,343,343,343,342,342,343,340,340,343,6.17948717948718,6.3076923076923075,6.341107871720117,6.341107871720117,6.454810495626822,6.464912280701754,6.47953216374269,6.5276967930029155,6.547058823529412,6.555882352941176,6.521865889212828,4
5,339,1112,2,18,11,706,6,2,3,1,5,7,107,108,106,106,106,106,107,108,105,103,104,7.317757009345795,7.351851851851852,7.443396226415095,7.443396226415095,7.59433962264151,7.59433962264151,7.542056074766355,7.5092592592592595,7.647619047619048,8.135922330097088,8.096153846153847,5
6,312,1147,3,15,7,674,13,9,3,1,9,4,137,137,137,137,137,137,138,139,136,133,135,9.167883211678832,9.379562043795621,9.379562043795621,9.379562043795621,9.401459854014599,9.664233576642335,9.630434782608695,9.661870503597122,9.816176470588236,10.233082706766917,10.133333333333333,6
7,670,982,1,12,16,1313,3,1,2,0,3,4,50,50,50,50,50,50,50,50,50,52,51,6.22,6.48,6.48,6.42,6.48,7.28,7.28,7.64,7.64,7.5576923076923075,7.745098039215686,7
8,2335,793,3,6,2,2175,2,0,2,0,0,4,22,21,22,22,26,26,26,26,30,29,30,9.181818181818182,9.571428571428571,10.318181818181818,10.318181818181818,10.692307692307692,10.692307692307692,10.461538461538462,10.461538461538462,11.033333333333333,11.172413793103448,11.566666666666666,8
9,696,539,2,8,3,880,5,1,3,1,4,17,37,37,38,38,40,40,42,41,43,44,47,7.918918918918919,7.918918918918919,8.342105263157896,8.394736842105264,9.425,9.525,10.380952380952381,10.585365853658537,11.209302325581396,11.431818181818182,11.957446808510639,9
10,1101,984,2,4,5,2255,2,0,2,0,1,3,24,24,28,28,33,33,34,34,39,40,40,8.083333333333334,8.083333333333334,8.5,8.5,9.757575757575758,9.757575757575758,10.735294117647058,10.735294117647058,10.179487179487179,9.95,9.65,10
