school_holiday,datetime
1,01/01/2012
1,02/01/2012
1,03/01/2012
1,04/01/2012
1,05/01/2012
1,06/01/2012
1,07/01/2012
1,08/01/2012
1,09/01/2012
1,10/01/2012
1,11/01/2012
1,12/01/2012
1,13/01/2012
1,14/01/2012
1,15/01/2012
1,16/01/2012
1,17/01/2012
1,18/01/2012
1,19/01/2012
1,20/01/2012
1,21/01/2012
1,22/01/2012
1,23/01/2012
1,24/01/2012
1,25/01/2012
1,26/01/2012
1,27/01/2012
1,28/01/2012
1,29/01/2012
1,30/01/2012
1,31/01/2012
1,01/02/2012
1,30/03/2012
1,31/03/2012
1,01/04/2012
1,02/04/2012
1,03/04/2012
1,04/04/2012
1,05/04/2012
1,06/04/2012
1,07/04/2012
1,08/04/2012
1,09/04/2012
1,10/04/2012
1,11/04/2012
1,12/04/2012
1,13/04/2012
1,14/04/2012
1,15/04/2012
1,30/06/2012
1,01/07/2012
1,02/07/2012
1,03/07/2012
1,04/07/2012
1,05/07/2012
1,06/07/2012
1,07/07/2012
1,08/07/2012
1,09/07/2012
1,10/07/2012
1,11/07/2012
1,12/07/2012
1,13/07/2012
1,14/07/2012
1,15/07/2012
1,22/09/2012
1,23/09/2012
1,24/09/2012
1,25/09/2012
1,26/09/2012
1,27/09/2012
1,28/09/2012
1,29/09/2012
1,30/09/2012
1,01/10/2012
1,02/10/2012
1,03/10/2012
1,04/10/2012
1,05/10/2012
1,06/10/2012
1,07/10/2012
1,22/12/2012
1,23/12/2012
1,24/12/2012
1,25/12/2012
1,26/12/2012
1,27/12/2012
1,28/12/2012
1,29/12/2012
1,30/12/2012
1,31/12/2012
1,01/01/2013
1,02/01/2013
1,03/01/2013
1,04/01/2013
1,05/01/2013
1,06/01/2013
1,07/01/2013
1,08/01/2013
1,09/01/2013
1,10/01/2013
1,11/01/2013
1,12/01/2013
1,13/01/2013
1,14/01/2013
1,15/01/2013
1,16/01/2013
1,17/01/2013
1,18/01/2013
1,19/01/2013
1,20/01/2013
1,21/01/2013
1,22/01/2013
1,23/01/2013
1,24/01/2013
1,25/01/2013
1,26/01/2013
1,27/01/2013
1,28/01/2013
1,29/03/2013
1,30/03/2013
1,31/03/2013
1,01/04/2013
1,02/04/2013
1,03/04/2013
1,04/04/2013
1,05/04/2013
1,06/04/2013
1,07/04/2013
1,08/04/2013
1,09/04/2013
1,10/04/2013
1,11/04/2013
1,12/04/2013
1,13/04/2013
1,14/04/2013
1,29/06/2013
1,30/06/2013
1,01/07/2013
1,02/07/2013
1,03/07/2013
1,04/07/2013
1,05/07/2013
1,06/07/2013
1,07/07/2013
1,08/07/2013
1,09/07/2013
1,10/07/2013
1,11/07/2013
1,12/07/2013
1,13/07/2013
1,14/07/2013
1,21/09/2013
1,22/09/2013
1,23/09/2013
1,24/09/2013
1,25/09/2013
1,26/09/2013
1,27/09/2013
1,28/09/2013
1,29/09/2013
1,30/09/2013
1,01/10/2013
1,02/10/2013
1,03/10/2013
1,04/10/2013
1,05/10/2013
1,06/10/2013
1,21/12/2013
1,22/12/2013
1,23/12/2013
1,24/12/2013
1,25/12/2013
1,26/12/2013
1,27/12/2013
1,28/12/2013
1,29/12/2013
1,30/12/2013
1,31/12/2013
1,01/01/2014
1,02/01/2014
1,03/01/2014
1,04/01/2014
1,05/01/2014
1,06/01/2014
1,07/01/2014
1,08/01/2014
1,09/01/2014
1,10/01/2014
1,11/01/2014
1,12/01/2014
1,13/01/2014
1,14/01/2014
1,15/01/2014
1,16/01/2014
1,17/01/2014
1,18/01/2014
1,19/01/2014
1,20/01/2014
1,21/01/2014
1,22/01/2014
1,23/01/2014
1,24/01/2014
1,25/01/2014
1,26/01/2014
1,27/01/2014
1,05/04/2014
1,06/04/2014
1,07/04/2014
1,08/04/2014
1,09/04/2014
1,10/04/2014
1,11/04/2014
1,12/04/2014
1,13/04/2014
1,14/04/2014
1,15/04/2014
1,16/04/2014
1,17/04/2014
1,18/04/2014
1,19/04/2014
1,20/04/2014
1,21/04/2014
1,28/06/2014
1,29/06/2014
1,30/06/2014
1,01/07/2014
1,02/07/2014
1,03/07/2014
1,04/07/2014
1,05/07/2014
1,06/07/2014
1,07/07/2014
1,08/07/2014
1,09/07/2014
1,10/07/2014
1,11/07/2014
1,12/07/2014
1,13/07/2014
1,20/09/2014
1,21/09/2014
1,22/09/2014
1,23/09/2014
1,24/09/2014
1,25/09/2014
1,26/09/2014
1,27/09/2014
1,28/09/2014
1,29/09/2014
1,30/09/2014
1,01/10/2014
1,02/10/2014
1,03/10/2014
1,04/10/2014
1,05/10/2014
1,20/12/2014
1,21/12/2014
1,22/12/2014
1,23/12/2014
1,24/12/2014
1,25/12/2014
1,26/12/2014
1,27/12/2014
1,28/12/2014
1,29/12/2014
1,30/12/2014
1,31/12/2014
1,01/01/2015
1,02/01/2015
1,03/01/2015
1,04/01/2015
1,05/01/2015
1,06/01/2015
1,07/01/2015
1,08/01/2015
1,09/01/2015
1,10/01/2015
1,11/01/2015
1,12/01/2015
1,13/01/2015
1,14/01/2015
1,15/01/2015
1,16/01/2015
1,17/01/2015
1,18/01/2015
1,19/01/2015
1,20/01/2015
1,21/01/2015
1,22/01/2015
1,23/01/2015
1,24/01/2015
1,25/01/2015
1,26/01/2015
1,27/01/2015
1,28/03/2015
1,29/03/2015
1,30/03/2015
1,31/03/2015
1,01/04/2015
1,02/04/2015
1,03/04/2015
1,04/04/2015
1,05/04/2015
1,06/04/2015
1,07/04/2015
1,08/04/2015
1,09/04/2015
1,10/04/2015
1,11/04/2015
1,12/04/2015
1,27/06/2015
1,28/06/2015
1,29/06/2015
1,30/06/2015
1,01/07/2015
1,02/07/2015
1,03/07/2015
1,04/07/2015
1,05/07/2015
1,06/07/2015
1,07/07/2015
1,08/07/2015
1,09/07/2015
1,10/07/2015
1,11/07/2015
1,12/07/2015
1,19/09/2015
1,20/09/2015
1,21/09/2015
1,22/09/2015
1,23/09/2015
1,24/09/2015
1,25/09/2015
1,26/09/2015
1,27/09/2015
1,28/09/2015
1,29/09/2015
1,30/09/2015
1,01/10/2015
1,02/10/2015
1,03/10/2015
1,04/10/2015
1,19/12/2015
1,20/12/2015
1,21/12/2015
1,22/12/2015
1,23/12/2015
1,24/12/2015
1,25/12/2015
1,26/12/2015
1,27/12/2015
1,28/12/2015
1,29/12/2015
1,30/12/2015
1,31/12/2015
1,01/01/2016
1,02/01/2016
1,03/01/2016
1,04/01/2016
1,05/01/2016
1,06/01/2016
1,07/01/2016
1,08/01/2016
1,09/01/2016
1,10/01/2016
1,11/01/2016
1,12/01/2016
1,13/01/2016
1,14/01/2016
1,15/01/2016
1,16/01/2016
1,17/01/2016
1,18/01/2016
1,19/01/2016
1,20/01/2016
1,21/01/2016
1,22/01/2016
1,23/01/2016
1,24/01/2016
1,25/01/2016
1,26/01/2016
1,25/03/2016
1,26/03/2016
1,27/03/2016
1,28/03/2016
1,29/03/2016
1,30/03/2016
1,31/03/2016
1,01/04/2016
1,02/04/2016
1,03/04/2016
1,04/04/2016
1,05/04/2016
1,06/04/2016
1,07/04/2016
1,08/04/2016
1,09/04/2016
1,10/04/2016
1,25/06/2016
1,26/06/2016
1,27/06/2016
1,28/06/2016
1,29/06/2016
1,30/06/2016
1,01/07/2016
1,02/07/2016
1,03/07/2016
1,04/07/2016
1,05/07/2016
1,06/07/2016
1,07/07/2016
1,08/07/2016
1,09/07/2016
1,10/07/2016
1,17/09/2016
1,18/09/2016
1,19/09/2016
1,20/09/2016
1,21/09/2016
1,22/09/2016
1,23/09/2016
1,24/09/2016
1,25/09/2016
1,26/09/2016
1,27/09/2016
1,28/09/2016
1,29/09/2016
1,30/09/2016
1,01/10/2016
1,02/10/2016
1,21/12/2016
1,22/12/2016
1,23/12/2016
1,24/12/2016
1,25/12/2016
1,26/12/2016
1,27/12/2016
1,28/12/2016
1,29/12/2016
1,30/12/2016
1,31/12/2016
1,01/01/2017
1,02/01/2017
1,03/01/2017
1,04/01/2017
1,05/01/2017
1,06/01/2017
1,07/01/2017
1,08/01/2017
1,09/01/2017
1,10/01/2017
1,11/01/2017
1,12/01/2017
1,13/01/2017
1,14/01/2017
1,15/01/2017
1,16/01/2017
1,17/01/2017
1,18/01/2017
1,19/01/2017
1,20/01/2017
1,21/01/2017
1,22/01/2017
1,23/01/2017
1,24/01/2017
1,25/01/2017
1,26/01/2017
1,27/01/2017
1,28/01/2017
1,29/01/2017
1,01/04/2017
1,02/04/2017
1,03/04/2017
1,04/04/2017
1,05/04/2017
1,06/04/2017
1,07/04/2017
1,08/04/2017
1,09/04/2017
1,10/04/2017
1,11/04/2017
1,12/04/2017
1,13/04/2017
1,14/04/2017
1,15/04/2017
1,16/04/2017
1,17/04/2017
1,01/07/2017
